,time,tavg,tmin,tmax,prcp
2,03-01-1990,21.0,16.4,26.5,0.0
4,05-01-1990,20.4,14.2,26.1,0.0
7,08-01-1990,20.0,16.6,25.1,0.0
9,10-01-1990,21.2,15.0,27.7,0.0
10,11-01-1990,21.8,16.0,28.5,0.0
12,13-01-1990,18.8,11.2,27.2,0.0
13,14-01-1990,19.8,11.5,29.0,0.0
14,15-01-1990,21.0,11.5,30.3,0.0
15,16-01-1990,22.1,12.6,29.7,0.0
18,19-01-1990,21.3,12.2,30.7,0.0
19,20-01-1990,20.3,13.0,30.7,0.0
21,22-01-1990,22.2,13.2,30.4,0.0
23,24-01-1990,21.5,14.5,29.0,0.0
24,25-01-1990,22.7,15.4,30.7,0.0
25,26-01-1990,22.7,14.0,30.4,0.0
26,27-01-1990,21.2,14.8,29.4,0.0
27,28-01-1990,19.2,14.0,29.7,0.0
28,29-01-1990,20.9,13.9,28.5,0.0
29,30-01-1990,21.4,14.3,30.0,0.0
31,01-02-1990,22.4,13.5,31.6,0.0
32,02-02-1990,22.4,14.5,31.9,0.0
35,05-02-1990,22.9,14.0,31.3,0.0
36,06-02-1990,22.3,15.9,29.7,0.0
37,07-02-1990,20.2,12.5,27.3,0.0
38,08-02-1990,22.3,16.9,28.0,0.0
41,11-02-1990,22.9,17.9,28.5,0.0
42,12-02-1990,23.2,17.0,29.5,0.0
44,14-02-1990,24.8,16.8,30.6,0.0
45,15-02-1990,24.7,19.4,31.5,0.0
47,17-02-1990,25.2,18.9,33.4,0.0
48,18-02-1990,23.9,18.8,32.6,0.0
49,19-02-1990,26.3,18.8,32.3,0.0
50,20-02-1990,24.8,18.8,31.0,0.0
51,21-02-1990,24.1,17.8,31.0,0.0
52,22-02-1990,24.3,16.4,31.9,0.0
53,23-02-1990,26.1,17.9,32.2,0.0
54,24-02-1990,25.6,18.8,31.5,0.0
55,25-02-1990,25.0,18.6,31.5,0.0
59,01-03-1990,26.0,21.4,31.5,0.0
60,02-03-1990,27.1,21.0,33.6,0.0
61,03-03-1990,25.9,20.9,31.6,0.0
63,05-03-1990,26.4,21.0,32.7,0.0
65,07-03-1990,26.7,21.8,32.4,0.0
66,08-03-1990,26.2,21.4,33.7,0.0
67,09-03-1990,26.3,20.5,31.5,0.0
68,10-03-1990,21.6,20.1,26.7,2.3
69,11-03-1990,23.1,20.0,28.5,1.0
70,12-03-1990,25.3,20.0,31.3,0.0
71,13-03-1990,26.4,21.5,32.7,0.3
72,14-03-1990,25.8,20.5,33.5,0.0
73,15-03-1990,28.1,21.0,34.6,0.0
76,18-03-1990,24.3,18.4,30.9,0.0
77,19-03-1990,26.2,18.0,32.0,0.0
78,20-03-1990,25.8,19.1,32.5,0.0
79,21-03-1990,26.9,20.3,33.5,0.0
80,22-03-1990,27.5,21.5,34.8,0.0
81,23-03-1990,27.8,22.1,33.8,0.0
84,26-03-1990,26.9,21.0,33.9,0.0
85,27-03-1990,27.1,21.0,34.0,0.0
87,29-03-1990,27.8,23.4,33.0,0.0
88,30-03-1990,28.7,23.3,33.9,0.0
89,31-03-1990,28.5,22.1,34.4,0.0
92,03-04-1990,29.1,23.6,36.2,0.0
94,05-04-1990,26.3,22.1,34.0,0.0
95,06-04-1990,26.7,20.9,33.2,0.0
98,09-04-1990,27.8,22.4,34.0,0.0
100,11-04-1990,29.4,23.6,34.4,0.0
101,12-04-1990,27.9,23.9,32.4,0.0
102,13-04-1990,29.7,24.0,35.1,0.0
105,16-04-1990,28.1,20.0,33.4,21.3
106,17-04-1990,26.7,21.2,32.0,8.4
107,18-04-1990,28.7,21.4,34.5,0.0
108,19-04-1990,28.2,22.6,34.4,0.0
109,20-04-1990,26.6,22.9,36.3,0.0
110,21-04-1990,28.7,22.1,36.3,0.0
112,23-04-1990,30.7,22.4,36.6,0.0
113,24-04-1990,30.0,24.2,36.4,0.0
114,25-04-1990,29.1,22.9,34.5,0.0
116,27-04-1990,29.9,22.2,35.1,182.1
117,28-04-1990,28.0,21.5,34.5,0.0
121,02-05-1990,27.1,20.4,33.3,3.0
122,03-05-1990,26.1,22.6,32.3,0.0
127,08-05-1990,25.2,21.1,31.1,0.0
128,09-05-1990,26.9,22.6,31.0,0.0
131,12-05-1990,27.1,23.0,30.7,1.0
132,13-05-1990,26.8,23.0,31.4,0.0
133,14-05-1990,26.9,22.5,33.7,0.0
134,15-05-1990,27.9,22.0,34.1,0.0
135,16-05-1990,27.6,20.9,34.6,0.0
137,18-05-1990,26.2,20.8,31.6,21.8
138,19-05-1990,26.4,21.4,32.5,0.0
139,20-05-1990,23.9,21.3,29.2,1.3
140,21-05-1990,24.8,21.4,28.0,2.3
141,22-05-1990,23.1,21.2,29.7,0.0
142,23-05-1990,24.2,21.6,31.5,2.0
144,25-05-1990,23.4,19.4,29.2,85.1
151,01-06-1990,25.5,20.0,32.0,0.0
152,02-06-1990,24.7,20.4,31.8,0.0
153,03-06-1990,22.9,19.8,28.6,15.0
162,12-06-1990,22.8,19.9,26.3,0.0
163,13-06-1990,23.8,20.1,28.2,1.5
164,14-06-1990,24.2,20.6,29.9,0.0
166,16-06-1990,23.6,20.2,28.8,0.0
168,18-06-1990,23.7,19.6,29.1,0.0
170,20-06-1990,23.7,20.8,29.1,0.0
173,23-06-1990,24.5,19.9,30.0,0.0
175,25-06-1990,23.5,19.6,27.8,0.0
177,27-06-1990,22.6,20.2,27.8,0.0
179,29-06-1990,23.1,19.8,26.8,5.6
180,30-06-1990,23.4,20.0,28.6,1.0
181,01-07-1990,22.7,19.6,28.3,0.0
182,02-07-1990,22.3,19.5,26.9,8.4
183,03-07-1990,22.2,19.4,27.0,1.0
184,04-07-1990,22.3,19.7,29.1,0.0
185,05-07-1990,24.0,19.2,30.0,0.0
187,07-07-1990,22.9,20.2,28.0,0.0
188,08-07-1990,21.5,19.6,23.5,0.5
189,09-07-1990,22.7,19.4,27.1,0.3
191,11-07-1990,22.3,19.4,27.0,1.8
192,12-07-1990,21.3,19.5,22.8,0.0
193,13-07-1990,22.4,18.4,27.7,0.0
195,15-07-1990,22.2,19.0,27.5,0.0
200,20-07-1990,23.8,19.4,29.4,2.0
203,23-07-1990,21.7,19.0,27.1,0.0
205,25-07-1990,22.9,19.2,27.0,0.0
210,30-07-1990,24.1,19.6,31.3,0.0
211,31-07-1990,23.9,20.0,29.4,2.3
212,01-08-1990,22.4,20.3,30.4,0.0
213,02-08-1990,21.8,20.2,25.4,8.4
214,03-08-1990,22.6,20.0,27.5,3.6
216,05-08-1990,22.9,20.2,28.5,2.0
218,07-08-1990,21.4,19.0,24.0,10.4
222,11-08-1990,21.8,19.0,26.0,25.9
223,12-08-1990,22.3,19.6,26.5,0.3
225,14-08-1990,20.3,18.7,22.2,4.1
227,16-08-1990,21.4,19.3,25.5,0.5
228,17-08-1990,22.3,19.4,26.2,0.0
229,18-08-1990,22.4,19.5,27.0,0.0
230,19-08-1990,22.4,19.0,27.2,0.0
232,21-08-1990,22.2,20.0,26.8,0.0
234,23-08-1990,22.8,20.0,27.5,0.0
235,24-08-1990,23.6,19.9,28.0,0.0
241,30-08-1990,23.3,19.2,28.0,0.0
242,31-08-1990,23.5,19.3,27.3,0.0
243,01-09-1990,23.0,19.0,28.4,0.0
244,02-09-1990,25.1,20.5,29.5,0.0
246,04-09-1990,21.9,19.5,26.7,0.3
252,10-09-1990,25.2,19.9,29.7,0.0
253,11-09-1990,24.0,20.2,28.8,0.0
254,12-09-1990,24.3,20.2,29.5,0.0
256,14-09-1990,24.4,19.6,28.6,0.0
257,15-09-1990,26.1,20.1,30.7,0.0
258,16-09-1990,25.3,21.0,30.7,0.0
259,17-09-1990,24.6,20.9,31.2,0.0
260,18-09-1990,24.6,20.3,29.7,9.1
264,22-09-1990,24.3,20.3,30.0,5.3
266,24-09-1990,22.3,19.4,28.0,17.5
267,25-09-1990,22.6,19.6,25.5,2.3
268,26-09-1990,24.8,19.5,29.5,0.0
269,27-09-1990,24.1,20.9,28.8,0.0
270,28-09-1990,22.8,20.5,26.6,0.0
274,02-10-1990,23.6,19.8,27.5,0.3
275,03-10-1990,22.8,19.7,26.2,0.0
276,04-10-1990,23.2,18.5,29.8,0.3
277,05-10-1990,24.1,18.9,30.5,0.0
278,06-10-1990,24.2,18.5,30.8,0.0
279,07-10-1990,25.1,19.7,31.0,0.0
281,09-10-1990,24.8,19.0,30.3,0.0
282,10-10-1990,24.9,20.8,28.8,0.0
286,14-10-1990,23.4,19.8,28.0,25.7
287,15-10-1990,23.5,20.0,28.5,0.0
288,16-10-1990,23.3,19.8,29.0,0.0
289,17-10-1990,24.3,20.0,29.5,0.3
290,18-10-1990,23.3,19.4,29.3,0.0
291,19-10-1990,22.1,19.4,25.5,0.3
293,21-10-1990,24.2,19.5,27.5,0.0
297,25-10-1990,22.5,19.9,26.3,0.0
299,27-10-1990,22.3,19.5,26.0,0.0
302,30-10-1990,20.9,19.4,24.0,8.9
304,01-11-1990,19.9,19.4,21.4,8.1
